Ministério,Categoria 01,title/pt-BR,body/pt-BR
Educação,Ensino Superior,Minha Casa Minha Vida Estudantil ,"Modalidade do Programa Minha Casa Minha Vida para a construção de moradia estudantil para alunos das universidades públicas brasileiras durante o período de estudos.

O PNAES (Programa Nacional de Assistência Estudantil) prevê o apoio aos estudantes de baixa renda. Contudo, o déficit de moradias estudantis ainda é alto e uma das principais barreiras para continuidade dos estudos e uma das causas da evasão nas universidades públicas."
Saúde,Saúde,Distribuição gratuita de Protetor Solar como política de saúde,"Considerando o câncer de pele o tipo mais incidente no país, torna-se necessária a construção de uma política pública de saúde que distribua protetor solar, visando ao acesso de todas as pessoas, principalmente as mais vulneráveis, ao produto e à prevenção do câncer de pele, tal como ocorre com medicamentos e preservativos."
Legislativo,Políticas públicas/sociais,Legalização da cannabis para uso medicinal e recreativo.,"A política de guerra às drogas, que tem origens racistas da influência estadunidense, se mostrou falha não só no Brasil mas como em todas as democracias liberais que a promoveram. Devemos seguir o modelo holandês de políticas de redução de danos. Além da utilidade na área da saúde, o Brasil tem potencial de se tornar uma referência na produção de cannabis legal."
Previdência Social,Proteção social,"Proteção as crianças, adolescentes e idosos ","Assegurar que os SCFV (serviços de convivência e fortalecimento de vínculos) sejam ampliados e participem de forma ativa na busca e apoio das crianças, jovens e idosos em situação de vulnerabilidade social."
Meio Ambiente e Mudança do Clima,Proteção animal,Proteção Animal - Política nacional,"Precisamos de uma política nacional de proteção animal que garanta recursos e ferramentas aos Estados e Municípios para garantir a proteção animal, seja silvestres ou domésticos.

- Recursos para fazer a proteção e controle populacional de animais domésticos. 
- Legislação eficiente para prevenir e punir exploração e maus tratos.
- Educação animalista no currículo educacional, afim de termos uma próxima geração comprometi a com a proteção animal."
Meio Ambiente e Mudança do Clima,Ampliação infraestrutura,Política Pública de Energia renovável ,"Estabelecer, Política Pública de energia Renovável. Criar linha de crédito que possibilite o acesso  dos que mais precisam.                Maria Delian Gomes"
Legislativo,Educação,Educação Animalista ,"Inserção obrigatória de conteúdos de educação animalista na LDB, visando disseminar a cultura do respeito aos animais não humanos e os conteúdos da cultura da paz., trabalhando nas escolas a teoria do link."
Planejamento e Orçamento,Políticas públicas/sociais,Renda mínima universal ,Uma renda de meio salario mínimo para cada brasileiro vivo e desempregado.
 Integração e Desenvolvimento Regional,Transporte,Ferrovias transportes de passageiros ,Meu nome e jefferson evangelis moro em AGUAS LINDAS GO   gostaria de pedir uma linha de passageiro no entorno de brasilia  para desafogar o transito na capital federal brasilia  Ttrabalho todos os dias na capital federal as veses gatas 3 a 4 horas parados no transito se tivesse linha de trem de passageito em todos entorno acabav de vez com isso   esse projeto vale para todos os estados e municipis para depender de rodovias trazendo desenvolvimento para todos os estados alem de melhorar o turismo
 Integração e Desenvolvimento Regional,Ampliação infraestrutura,Ampliação da presença dos Correios nos municipios,"Considerando a capilaridade dos Correios e seu importante papel como ente de ligação entre as comunidades, os cidadãos e o Estado nos municípios, a ampliação da oferta de serviços e a criação de novas unidades de atendimento é preponderante para a manutenção do papel social da empresa. Além disso, a consolidação da estatal como operador logístico do governo é a garantia de uma sustentabilidade do serviço postal."
Cidades,Cuidado,"Construção de habitações para idosos ""Cidade Madura""","Com o intuito de oferecer conforto, segurança e qualidade de vida para os idosos que são independentes e fisicamente funcionais, o programa Cidade Madura é uma experiência êxitosa no estado da Paraíba e deve ser replicado para todo Brasil.

Trata-se de um condomínio vertical dotado de acessibilidade e um conjunto de equipamentos para proporcionar a qualidade de vida para os idosos, como salão de jogos, academia de ginástica ao ar livre, pista de caminhada, espaços para plantio cultivo de flores."
Saúde,Saúde,Atenção oftalmológica no SUS,"Há a necessidade da ampliação e consolidação das ações, programas e serviços voltados à atenção oftalmológica no Sistema Único de Saúde, que têm alta demanda, mas ainda pouca oferta. O desenvolvimento de uma política oftalmológica nacional que permita a assistência integral à visão faz-se necessário. As consultas oftalmológicas básicas e de rotina devem ser descentralizadas e levadas à atenção básica e às escolas. Procedimentos hospitalares ou ambulatoriais de alta demanda devem ser garantidos."
Meio Ambiente e Mudança do Clima,Proteção animal,Criação do Observatório Nacional Animal,"Desenvolver política para a construção do Observatório Nacional, coletando dados em todos os municípios,  alimentando o banco de dados com :
Número de animais existentes (animais domesticados)
Números de animais castrados e vacinados (todas as vacinas)
Esse banco de dados deve oferecer o endereço,  e a situação do tutor. 
O objetivo é a partir desses dados, oferecer a microchipagem, e ofertarcpoliticas públicas específicas para cada região e condição do tutor."
Legislativo,Políticas públicas/sociais,Proteção Dos Povos Indígenas,"Proteção aos povos indígenas, em diversas áreas, respeitando suas tradições, línguas e costumes, devolvendo a eles o direito de viver em paz em suas terras, uma guarda florestal ARMADA eficiente que dê a proteção e o direito de defesa aos povos indígenas, com amparo da justiça federal, apoio das forças armadas, PF e outros órgãos de defesa, também levar até eles saúde, educação e segurança alimentar, enquanto a recuperação total da região ainda não foi concluída.
Pondo fim a todas ameaças."
Legislativo,Proteção animal,Proteção dos jumentos,"Proibição do abate dos jumentos em todo o território nacional e criação de mecanismos de proteção, garantindo recursos e suporte para evitar a extinção desses animais e promover a conscientização a cerca de sua preservação."
Meio Ambiente e Mudança do Clima,Resíduos,Reciclagem de garrafas de vidros e longneck,Manter uma obrigação as empresas produtoras e engarrafadora de bebidas a recolherem ainda bos e  por bairros 80% das garrafas de vidros todos os bairros  vendidas neste bairro.
Educação,Educação,Adolescente cidadao,"Todos estudantes de primeiro grau devem conhecer   as casas dos três poderes de seus estados. Os estados devem prover deslocamentos e estadia  para os estudantes.
Todos estudantes que terminarem o segundo grau têm direito de conhecer a capital do país. Devem se inscrever nos seus estados de origem."
Fazenda,Aquisição de equipamentos,Atualização dos Protocolos bancários no Brasil,"A minha proposta é  que o Banco Central atualize os protocolos bancários do Brasil.  Estamos aqui apenas com o SWIFT, em outros países existem o MT 103/202 com  manual download, FX4, SEPA, DTC, L2L , IPIP, IPID, nós estamos de fora do bilionário mercado financeiro de prestação de serviços porque estamos bem desatualizados quanto aos protocolos de transferências internacionais de grandes valores. Trabalho com isso fora do Brasil, muitas grandes empresas querem iniciar suas operações no aqui."
Meio Ambiente e Mudança do Clima,Proteção ambiental,Programa de Reflorestamento Ambiental ,"Criar um programa de Reflorestamento Ambiental no País. O Brasil tem cerca 8.000.000 km². As areas de urbanização e desmatamento contribuem com a perca da nossa natureza e com os problemas climáticos. Um programa de reflorestamento visa criar reservas ambientais em todos os municípios do Brasil, com objetivo de reflorestar áreas urbanas freando o desequilíbrio ambiental entre a biodiversidade e a urbanização. As áreas urbanas necessitam de áreas verdes naturais preservadas e fauna e flora viva."
Educação,Educação,Educação Integral ,"Escola tempo integral, com projeto pedagógico  contextualizado, com atividades esportivas e culturais."
Legislativo,Proteção animal,Direito Animalista ,"Proibição do abate de jumentos em todo território naciinal, criando estratégias para a sua preservação. Declarar o jumento enquanto patrimônio da nossa cultura devendo ser respeitado  

Proibição do uso de carroças em todo território nacional, criando estratégias para substituição das carroças por veículos para o transporte de carga. Animais não são veículos."
"Ciência, Tecnologia e Inovação",Ampliação infraestrutura,Inclusão digital,"Levar banda larga para todo o estado da Bahia, principalmente para a zona rural."
